ticker,days,median_dollar_volume,half_spread_bps,zero_volume_share,participation,cap_tier,fail_participation,fail_dollar_volume,fail_zero_volume,dropped,fail_history
MMM,4184,282385824.89863586,6.094357210573485,0.0,2.2664027141933627e-06,large,False,False,False,False,False
AOS,4184,43499698.97518158,8.128764422299179,0.0,1.471274549198943e-05,large,False,False,False,False,False
ABT,4184,349530676.9460678,9.30325587070078,0.0,1.831026694400135e-06,large,False,False,False,False,False
ABBV,3430,496544869.69299316,11.618688276302882,0.0,1.2889066810733603e-06,large,False,False,False,False,False
ACN,4184,280788165.65036774,5.053568562146429,0.0,2.2792983405038383e-06,large,False,False,False,False,False
ADBE,4184,544927485.7376099,10.10310565623552,0.0,1.1744681939353832e-06,large,False,False,False,False,False
AMD,4184,1052819823.6652374,11.162608907733162,0.0002390057361376673,6.078912892919646e-07,large,False,False,False,False,False
AES,4184,60802721.10619545,11.61282502775243,0.0,1.0525844704913835e-05,large,False,False,False,False,False
AFL,4184,124040863.33293915,9.94269655409186,0.0,5.159590015769001e-06,large,False,False,False,False,False
A,4184,138390625.83007812,6.098983690500433,0.0,4.6245906914664805e-06,large,False,False,False,False,False
APD,4184,156833551.29089355,8.609145787929528,0.0,4.080759472269638e-06,large,False,False,False,False,False
ABNB,1430,621345519.1268921,12.326141343608485,0.0,1.0300227173108465e-06,large,False,False,False,False,False
AKAM,4184,121456137.40539551,10.766301428448525,0.0,5.269392009922167e-06,large,False,False,False,False,False
ALB,4184,96990171.82807922,3.1986180554123447,0.0,6.598606724137345e-06,large,False,False,False,False,False
ARE,4184,54439060.59265137,12.618930017751326,0.0,1.1756264583419216e-05,large,False,False,False,False,False
ALGN,4184,135572168.07861328,15.659830544991609,0.0,4.7207329429805065e-06,large,False,False,False,False,False
ALLE,3208,61503013.538360596,8.559709056565206,0.0,1.0405994164835839e-05,large,False,False,False,False,False
LNT,4184,40708698.02150726,10.13173470787893,0.0,1.5721455883012385e-05,large,False,False,False,False,False
ALL,4184,141846436.02981567,8.540652424187336,0.0,4.511921609827927e-06,large,False,False,False,False,False
GOOGL,4184,2095566948.4678974,2.6816903891151656,0.0,3.05406611069102e-07,large,False,False,False,False,False
GOOG,4184,1938968808.1016865,2.281081651560345,0.0,3.300723546071795e-07,large,False,False,False,False,False
MO,4184,210259037.04948425,8.182625593439548,0.0,3.043864411161441e-06,large,False,False,False,False,False
AMZN,4184,4871246740.150452,2.9075219277048086,0.0,1.3138320313871705e-07,large,False,False,False,False,False
AMCR,3588,23611837.412109375,0.0,0.38210702341137126,2.710504857499039e-05,large,False,False,True,True,False
AEE,4184,67448292.01526642,10.655286047123672,0.0,9.488750283775026e-06,large,False,False,False,False,False
AEP,4184,138472644.4671631,9.507210061399284,0.0,4.62185150332539e-06,large,False,False,False,False,False
AXP,4184,355156942.09251404,0.652530480043797,0.0,1.802020245554676e-06,large,False,False,False,False,False
AIG,4184,243266489.2490387,8.112445901646103,0.0,2.630859687972946e-06,large,False,False,False,False,False
AMT,4184,233975953.83987427,11.423059444560723,0.0,2.7353238206606297e-06,large,False,False,False,False,False
AWK,4184,68555718.79882812,13.582013146266247,0.0,9.33547209793007e-06,large,False,False,False,False,False
AMP,4184,109437198.26278687,4.310053786633247,0.0,5.848102931721583e-06,large,False,False,False,False,False
AME,4184,80387686.84043884,6.9522186704818205,0.0,7.961418286239945e-06,large,False,False,False,False,False
AMGN,4184,406554227.37731934,13.463879651658228,0.0,1.5742057440372444e-06,large,False,False,False,False,False
APH,4184,94058174.23858643,1.7171100613809007,0.0,6.80429962819166e-06,large,False,False,False,False,False
ADI,4184,194440073.58398438,8.198810096449192,0.0,3.2915025601631713e-06,large,False,False,False,False,False
AON,4184,146813026.40914917,9.477411761453249,0.0,4.359286199961587e-06,large,False,False,False,False,False
APA,4184,165062984.9234581,2.2357789316645897,0.0,3.8773078064520436e-06,large,False,False,False,False,False
APO,3872,30962403.39231491,12.748755517050833,0.0,2.0670230017055218e-05,large,False,False,False,False,False
AAPL,4184,7133397149.375916,0.0,0.0,8.971882352800056e-08,large,False,False,False,False,False
AMAT,4184,384090487.1694565,6.300806230569153,0.0,1.6662740197406635e-06,large,False,False,False,False,False
APP,1345,178073252.9296875,5.389691527244017,0.0,3.59402655632233e-06,large,False,False,False,False,False
APTV,3710,145079284.35707092,2.5328378175605346,0.0,4.411381010295199e-06,large,False,False,False,False,False
ACGL,4184,40377832.14454651,10.831609704074651,0.0,1.585028135509844e-05,large,False,False,False,False,False
ADM,4184,119865047.43967056,9.267741059549246,0.0,5.339337977754685e-06,large,False,False,False,False,False
ARES,3095,22022188.734054565,22.42934716217926,0.0,2.9061598178491673e-05,large,False,False,False,False,False
ANET,3071,192044102.2277832,7.787326992901439,0.0,3.332567845488413e-06,large,False,False,False,False,False
AJG,4184,55637511.91902161,9.706182894147911,0.0,1.1503030562033344e-05,large,False,False,False,False,False
AIZ,4184,39660038.75436783,9.679655565025149,0.0,1.6137150141577097e-05,large,False,False,False,False,False
T,4184,484032284.47107124,7.668412625626745,0.0,1.3222258525572592e-06,large,False,False,False,False,False
ATO,4184,38659348.60610962,10.966174478416661,0.0,1.6554857313318936e-05,large,False,False,False,False,False
ADSK,4184,209558206.1800003,7.718275822661141,0.0,3.0540440847745715e-06,large,False,False,False,False,False
ADP,4184,191794256.9091797,9.490021379190473,0.0,3.3369090937016906e-06,large,False,False,False,False,False
AZO,4184,234066375.5126953,16.19332530713552,0.0,2.734267143660229e-06,large,False,False,False,False,False
AVY,4184,51189173.2509613,6.751038187958157,0.0,1.2502643808336583e-05,large,False,False,False,False,False
AXON,4184,36004175.521850586,20.390788434796995,0.0,1.777571603081399e-05,large,False,False,False,False,False
BKR,4184,133619474.8711586,11.309721335579082,0.0002390057361376673,4.789720964081878e-06,large,False,False,False,False,False
BALL,4184,84082769.48051453,7.041005650042239,0.0,7.611547573350502e-06,large,False,False,False,False,False
BAC,4184,1350694086.5491867,3.391575810265344,0.0,4.7383045974170247e-07,large,False,False,False,False,False
BAX,4184,157240890.73848724,10.067849873613344,0.0,4.070188085263433e-06,large,False,False,False,False,False
BDX,4184,191080837.9848709,9.864769258729098,0.0,3.349367768895136e-06,large,False,False,False,False,False
BBY,4184,145707930.73654175,7.683470911119844,0.0,4.392348424446439e-06,large,False,False,False,False,False
TECH,4184,25314220.351409912,16.585090529744505,0.0,2.5282232323001575e-05,large,False,False,False,False,False
BIIB,4184,289589022.57385254,19.185404969774094,0.0,2.210028523566648e-06,large,False,False,False,False,False
BLK,4184,216195382.12738037,4.153633385873163,0.0,2.960285246161816e-06,large,False,False,False,False,False
BX,4184,112779866.52201653,5.917406036776328,0.0,5.674771745496447e-06,large,False,False,False,False,False
XYZ,2703,590040749.887085,5.3396160263461905,0.0,1.0846708470939942e-06,large,False,False,False,False,False
BNY,4184,171994011.80057526,5.565876572581135,0.0,3.721059781674675e-06,large,False,False,False,False,False
BA,4184,836578193.9876556,1.1998753432587927,0.0,7.650211356207591e-07,large,False,False,False,False,False
BKNG,4184,698783841.2189484,6.667941743118088,0.0,9.158769311030337e-07,large,False,False,False,False,False
BSX,4184,223460392.51613617,14.839924740848996,0.0,2.8640422259787506e-06,large,False,False,False,False,False
BMY,4184,368967820.10326385,9.207216100091173,0.0,1.7345686131134195e-06,large,False,False,False,False,False
AVGO,4184,494623629.54235077,6.839300455142306,0.0,1.2939131124652463e-06,large,False,False,False,False,False
BR,4184,46529849.645996094,9.732040264575332,0.0,1.3754611391809476e-05,large,False,False,False,False,False
BRO,4184,30358147.2987175,9.164939804074614,0.0,2.1081655402173942e-05,large,False,False,False,False,False
BLDR,4184,18052208.86077881,26.567668022295198,0.0,3.5452725200321505e-05,large,False,False,False,False,False
BG,4184,63801285.31208038,13.09131534305446,0.0,1.003114587534524e-05,large,False,False,False,False,False
BXP,4184,64747537.28561401,12.21142013863497,0.0,9.884545834953308e-06,large,False,False,False,False,False
CHRW,4184,81541248.7197876,10.341533748961593,0.0,7.84878831325392e-06,large,False,False,False,False,False
CDNS,4184,92805305.2783966,12.096027224852316,0.0,6.896157478068017e-06,large,False,False,False,False,False
CPT,4184,39405489.46914673,12.98483901564423,0.0,1.6241391963957208e-05,large,False,False,False,False,False
COF,4184,212246128.01055908,2.982648284404638,0.0,3.015367140022269e-06,large,False,False,False,False,False
CAH,4184,119110253.09238434,10.990860605707764,0.0,5.3731730340930685e-06,large,False,False,False,False,False
CCL,4184,217053916.15886688,0.0,0.0,2.9485761479261628e-06,large,False,False,False,False,False
CARR,1615,223513824.87487793,6.423710793734595,0.0,2.863357559015731e-06,large,False,False,False,False,False
CVNA,2342,279671050.93574524,20.982467762344434,0.0,2.288402742645826e-06,large,False,False,False,False,False
CASY,4184,37461768.896102905,19.705213361216234,0.0,1.7084083823563875e-05,large,False,False,False,False,False
CAT,4184,478137737.89367676,0.541223966590582,0.0,1.3385264313571426e-06,large,False,False,False,False,False
CBOE,4072,56138163.148498535,19.17059476141316,0.0,1.1400444262970463e-05,large,False,False,False,False,False
CBRE,4184,84711654.38308716,8.686095440426174,0.0,7.555040739799047e-06,large,False,False,False,False,False
CDW,3308,83868697.43614197,13.536764720664872,0.0,7.630975793886617e-06,large,False,False,False,False,False
COR,4184,108235396.15478516,11.974861045470496,0.0,5.913037903836463e-06,large,False,False,False,False,False
CNC,4184,148664039.81513977,13.475307613896252,0.0002390057361376673,4.305008802369591e-06,large,False,False,False,False,False
CNP,4184,75968387.51077652,12.997898149524625,0.0,8.424556858064318e-06,large,False,False,False,False,False
CF,4184,132132461.95392609,12.191335279751604,0.0,4.843624273217316e-06,large,False,False,False,False,False
CRL,4184,45570036.640930176,12.287740750190697,0.0,1.4044316115935787e-05,large,False,False,False,False,False
