,config,days,ann_return,ann_vol,sharpe,max_drawdown,total_return,nw_t
all|MN|free,all|MN|free,3906,0.012515226656482659,0.024231758502301633,0.516480331185783,0.06345673730516288,0.20857287525489787,1.8973989563590576
all|MN|spread,all|MN|spread,3906,-0.004084268163713974,0.024355430190696938,-0.1676943552930568,0.134419388488363,-0.06564144815455697,-0.6229932928155729
all|L2|free,all|L2|free,3906,0.04655038953598977,0.07658979138779753,0.6077884361936816,0.13180202326411705,0.9662770110753094,2.4852453288265366
all|L2|spread,all|L2|spread,3906,0.029763641762433426,0.07661838377535886,0.3884660612223156,0.15197932399079395,0.5157994953224057,1.582875128512902
large|MN|free,large|MN|free,3906,0.0033584800900474596,0.015770110011234788,0.21296491195399678,0.05435607144834331,0.051407536365241535,0.9295499161123932
large|MN|spread,large|MN|spread,3906,-0.009982561746447904,0.015830929101277532,-0.630573334172934,0.17569307479296015,-0.14501747027968448,-2.7360145756523018
large|L2|free,large|L2|free,3906,0.03268640457025133,0.05850700201581579,0.5586750892041168,0.14994824228469938,0.6161512302499335,2.320595506554936
large|L2|spread,large|L2|spread,3906,0.019364578334107565,0.05855715182792859,0.33069535880110396,0.16971597785997183,0.31459719239258077,1.3644173518019707
mid|MN|free,mid|MN|free,3906,0.007372471875753155,0.019140644144739854,0.3851736555992148,0.07255646439489838,0.11787912442180737,1.576095155081912
mid|MN|spread,mid|MN|spread,3906,-0.007842107623902831,0.01927322797741959,-0.40689123965588964,0.1508244760302644,-0.11700254912330699,-1.6665811842620162
mid|L2|free,mid|L2|free,3906,0.0487884161388869,0.07987864961687278,0.6107816841282869,0.16546216429328153,1.0271938544514083,2.399239916569495
mid|L2|spread,mid|L2|spread,3906,0.03354472163736763,0.07989321836078478,0.4198694498184455,0.19871812447000825,0.6006106975130898,1.6411030771316963
small|MN|free,small|MN|free,3906,0.008328101638925677,0.02563213719297566,0.3249085933110543,0.05845680749481297,0.13202358576743856,1.085997565993538
small|MN|spread,small|MN|spread,3906,-0.009898834284709335,0.025667843847945526,-0.38565118065036247,0.22694787744423317,-0.1465997971619637,-1.3017173255346854
small|L2|free,small|L2|free,3906,0.041111326937970864,0.08388539508715594,0.49008920915561854,0.20069257814855523,0.790894781575139,1.8765369227258075
small|L2|spread,small|L2|spread,3906,0.022817884168823948,0.08392750181566729,0.27187612731449595,0.22615414065586725,0.3486916352751346,1.034229197584572
