entry_spec,window,horizon_bars,n_events,win_rate,base_rate,edge_pp,p_value,mean_ret,median_ret
kdj_cross_only,W1,1,1166,0.5445969125214408,0.5390653407083342,0.5531571813106595,0.363299126797639,0.002012730092338374,0.0019087097801052666
kdj_cross_only,W1,3,1164,0.5532646048109966,0.5584388862269897,-0.5174281415993076,0.6499694406435437,0.004594381453017623,0.004390904889107761
kdj_cross_only,W1,5,1164,0.5833333333333334,0.573145863785534,1.0187469547799366,0.25035407892162864,0.00850335509716481,0.008424622733914644
kdj_cross_only,W1,10,1164,0.6073883161512027,0.6014691657917405,0.5919150359462222,0.3509038565628604,0.0191775557785064,0.016177478747850138
kdj_cross_only,W1,20,1158,0.6303972366148531,0.630569231541003,-0.017199492614983214,0.5170183711480605,0.03533091639989404,0.02990651956316792
kdj_cross_only,W1,60,1137,0.6904133685136323,0.6952040063232915,-0.47906378096591595,0.6499209755200286,0.10911100224869845,0.07972739035219822
kdj_cross_only,W2,1,3820,0.5130890052356021,0.5084985971114195,0.45904081241825434,0.290528301089635,0.0016982889129740974,0.0006931994610156478
kdj_cross_only,W2,3,3818,0.5167627029858565,0.5234712412932281,-0.6708538307371614,0.8015432699739178,0.0030539057085877982,0.0016481873132675462
kdj_cross_only,W2,5,3818,0.534049240440021,0.5349261898853686,-0.08769494453475524,0.5497406096837419,0.005151007665706184,0.0040114568580861265
kdj_cross_only,W2,10,3818,0.5453116815086433,0.5552020035859675,-0.989032207732421,0.8940510492286537,0.010915161175011916,0.008648895633724396
kdj_cross_only,W2,20,3812,0.5674186778593914,0.5727063922760149,-0.5287714416623568,0.7512624851846117,0.023157175650358176,0.017925062228099198
kdj_cross_only,W2,60,3791,0.6125032972830388,0.618344195030705,-0.5840897747666274,0.7768675202755926,0.07457432515263582,0.05282147027254336
kdj_k_lt_30,W1,1,217,0.5299539170506913,0.5384922073214934,-0.8538290270802107,0.6256999133845436,0.0015834915549539788,0.001865119452893138
kdj_k_lt_30,W1,3,216,0.5,0.5572318007662836,-5.723180076628365,0.9610437269591555,0.0021829272620755807,0.0002775865585415982
kdj_k_lt_30,W1,5,216,0.5509259259259259,0.5722611208357646,-2.1335194909838706,0.7589302832696563,0.0014057110773395235,0.0058482655818637985
kdj_k_lt_30,W1,10,216,0.6157407407407407,0.5999972163068745,1.5743524433866174,0.34338996108923847,0.0158851791208101,0.0160165257803343
kdj_k_lt_30,W1,20,215,0.6046511627906976,0.6285350854877053,-2.3883922697007676,0.787366777205859,0.029928852152383705,0.026336546366966695
kdj_k_lt_30,W1,60,209,0.6794258373205742,0.6913628208957686,-1.193698357519446,0.6739136043311449,0.12015274866340969,0.10995995974478978
kdj_k_lt_30,W2,1,917,0.48091603053435117,0.5058342619893378,-2.4918231454986617,0.9386899965460724,0.0007451547413760157,0.0
kdj_k_lt_30,W2,3,916,0.4661572052401747,0.5202937359055239,-5.413653066534918,0.9995450080990065,-0.0035926950807339013,-0.0016961799102918063
kdj_k_lt_30,W2,5,916,0.48253275109170307,0.5318617237739368,-4.932897268223374,0.9987730995578404,-0.00376971970515356,-0.00164232916328233
kdj_k_lt_30,W2,10,916,0.5054585152838428,0.5510638589198691,-4.560534363602631,0.9975521293872764,-6.757350375252762e-05,0.002742819144094688
kdj_k_lt_30,W2,20,915,0.5245901639344263,0.5672301289238667,-4.263996498944045,0.9959212613855334,0.008653381289325732,0.007999992370605558
kdj_k_lt_30,W2,60,909,0.592959295929593,0.6112028612063145,-1.8243565276721552,0.8790344314169942,0.06458926160222767,0.04811948155153889
