window,k_max,macd_mode,n_closed,n_open,win_rate,base_rate,z,p_value,expected_wins,wins,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,edge_pp
W1,none,none,1164,2,0.4579037800687285,0.5741714736551903,-8.067438730391839,0.9999999999999997,668.3355953346415,533.0,0.006813506801064112,-0.0032168174421798867,5.914948453608248,5.0,1.3980837326561666,-11.626769358646177
W1,none,dif_gt_dea,449,1,0.4521158129175947,0.5661771462625981,-4.932297440861203,0.9999995936598101,254.21353867190652,203.0,0.007158417912895929,-0.0026399758711341814,4.612472160356347,4.0,1.5044217875636134,-11.40613333450034
W1,none,dif_gt_zero,715,0,0.46853146853146854,0.5702012907518461,-5.538542488845099,0.9999999847500372,407.69392288756995,335.0,0.007492606749909132,-0.0016788066567647864,5.078321678321679,4.0,1.5798179095887277,-10.166982222037756
W1,none,both,352,0,0.4346590909090909,0.5631249594704038,-4.920071529165405,0.9999995674370498,198.21998573358212,153.0,0.005490404233548441,-0.002896093499968888,4.025568181818182,3.0,1.443286369222399,-12.846586856131287
W1,none,hist_rising,1061,2,0.46748350612629597,0.5757976836455113,-7.183554951262987,0.9999999999996604,610.9213423478875,496.0,0.007665746847057242,-0.0027954560330817335,6.2054665409990575,5.0,1.435271765640259,-10.831417751921535
W1,none,recent_cross,132,1,0.5,0.5770146007188847,-1.882794310347953,0.970135875786571,76.16592729489278,66.0,0.011219774997210762,2.1266073899073312e-05,6.348484848484849,6.0,1.6037120227967414,-7.701460071888466
W1,80,none,986,2,0.4645030425963489,0.5772938947842832,-7.216047307750031,0.9999999999997324,569.2117802573032,458.0,0.007816587033968871,-0.004365282125494807,6.484787018255578,6.0,1.4263502044930076,-11.279085218793428
W1,80,dif_gt_dea,277,1,0.4729241877256318,0.572102911260051,-3.4031394249508007,0.9996669186148293,158.47250641903412,131.0,0.010997197262532322,-0.0027251600651684305,5.776173285198556,5.0,1.670713418239719,-9.91787235344192
W1,80,dif_gt_zero,538,0,0.4851301115241636,0.5746271568725059,-4.249706366574017,0.9999892974536919,309.1494103974082,261.0,0.00955690881711522,-0.0013375525810276345,5.843866171003717,5.0,1.6953975902869187,-8.949704534834229
W1,80,both,181,0,0.4530386740331492,0.5693826302093166,-3.2416120702441638,0.9994057215437551,103.0582560678863,82.0,0.009794953079605028,-0.0030871502686882213,5.248618784530387,4.0,1.700851537099134,-11.634395617616738
W1,80,hist_rising,934,2,0.4721627408993576,0.5781638720130927,-6.605749540602095,0.9999999999802245,540.0050564602286,441.0,0.008478909827124995,-0.003650831243588837,6.643468950749464,6.0,1.4553060521465013,-10.60011311137351
W1,80,recent_cross,117,1,0.49572649572649574,0.5785310121734268,-1.9114750002647225,0.9720282167443902,67.68812842429094,58.0,0.012796893893097534,-0.00019764582281256438,6.769230769230769,7.0,1.6449479009097407,-8.280451644693109
W1,50,none,546,1,0.43956043956043955,0.5802408672874285,-6.718802083430152,0.9999999999908388,316.81151353893597,240.0,0.0069904267229745414,-0.008490565543239958,7.252747252747253,7.0,1.320444156286883,-14.068042772698897
W1,50,dif_gt_dea,60,0,0.45,0.5770473372115998,-2.127268968128483,0.9833011292098437,34.62284023269599,27.0,0.012737788741944396,-0.005005178457454629,7.083333333333333,7.0,1.5882637937387711,-12.704733721159982
W1,50,dif_gt_zero,151,0,0.45695364238410596,0.5770819730019822,-3.076346539298427,0.9989522292941472,87.1393779232993,69.0,0.010641063068777658,-0.005714260801977011,6.754966887417218,7.0,1.6965388911773382,-12.012833061787621
W1,50,both,10,-20,0.3,0.5575071801480633,-1.9609531490727072,0.9750577557763088,5.575071801480633,3.0,0.008210605912459534,-0.011084481324458328,5.4,5.0,1.71138238426638,-25.750718014806335
W1,50,hist_rising,526,1,0.44866920152091255,0.5806601518104377,-6.192233184977186,0.9999999997034115,305.42723985229026,236.0,0.007524486405616486,-0.008195367116812458,7.366920152091255,7.0,1.3437956439658927,-13.199095028952518
W1,50,recent_cross,43,0,0.4186046511627907,0.5775509189170493,-2.2693321965125257,0.9883759339891219,24.834689513433123,18.0,0.004425760869642296,-0.008620689655172376,7.488372093023256,7.0,1.1510037033022404,-15.894626775425863
W1,30,none,216,1,0.4351851851851852,0.580849772615357,-4.418890336246662,0.9999950395515578,125.46355088491711,94.0,0.004907734014702058,-0.013018356282235133,7.5092592592592595,7.0,1.191359070284683,-14.56645874301718
W1,30,dif_gt_dea,9,-18,0.4444444444444444,0.5838762035421029,-1.1897027278767736,0.8829183735774182,5.254885831878926,4.0,0.024825767722805647,-0.0027251600651684305,7.333333333333333,6.0,2.016113570841298,-13.943175909765849
W1,30,dif_gt_zero,13,0,0.46153846153846156,0.5737742959915242,-1.1005007636872173,0.8644430014677668,7.459065847889815,6.0,0.015488631764121023,-0.018225228530844406,7.461538461538462,7.0,1.7243228909089015,-11.223583445306263
W1,30,both,0,0,,,,,,,,,,,,
W1,30,hist_rising,208,1,0.4326923076923077,0.5803460814796902,-4.396186474970418,0.999994491535082,120.71198494777556,90.0,0.004290837253053972,-0.014209607972120453,7.509615384615385,7.0,1.1637665025375867,-14.765377378738254
W1,30,recent_cross,7,-14,0.42857142857142855,0.5811427478800788,-1.2037481624863269,0.8856565345782388,4.067999235160552,3.0,0.02421864050865579,-0.029000798930343685,7.571428571428571,6.0,1.7806580712107176,-15.257131930865025
W1,20,none,62,0,0.41935483870967744,0.5839990338319848,-2.765813509458548,0.9971609501857064,36.207940097583055,26.0,-0.004256037132879223,-0.017967074613108203,7.741935483870968,7.0,0.8514225574625006,-16.464419512230737
W1,20,dif_gt_dea,4,-8,0.25,0.5860706362768555,-1.8791430385372767,0.9698875175697381,2.344282545107422,1.0,0.013914013485569976,-0.015862979497756058,5.75,2.5,1.5731601387975918,-33.60706362768555
W1,20,dif_gt_zero,2,-4,0.0,0.5708235034928444,-2.345733633144755,0.9905051634618793,1.1416470069856888,0.0,-0.018609427843692017,-0.018609427843692017,10.0,10.0,0.0,-57.08235034928444
W1,20,both,0,0,,,,,,,,,,,,
W1,20,hist_rising,58,0,0.3793103448275862,0.580802966464918,-3.2503773644870533,0.9994237401789275,33.68657205496525,22.0,-0.008988745078001271,-0.018841842882087567,7.413793103448276,7.0,0.7064494907199389,-20.149262163733184
W1,20,recent_cross,3,-6,0.3333333333333333,0.5975323839496651,-1.5276823977096765,0.9367042937224566,1.7925971518489954,1.0,0.019460404669149445,-0.029000798930343685,7.333333333333333,4.0,1.618584729494936,-26.41990506163318
W2,none,none,3818,2,0.40963855421686746,0.5342346450934865,-15.482486392646637,1.0,2039.7078749669313,1564.0,0.00497150577287551,-0.008464677853735503,5.7116291251964375,5.0,1.231224970379206,-12.459609087661905
W2,none,dif_gt_dea,1536,1,0.4244791666666667,0.5285643498313626,-8.212665467156729,0.9999999999999999,811.8748413409729,652.0,0.006948870425808396,-0.005380195001355947,4.6484375,4.0,1.38894704841991,-10.40851831646959
W2,none,dif_gt_zero,2031,0,0.4258985721319547,0.5332084774182042,-9.734134673925533,1.0,1082.9464176363726,865.0,0.006087221814825778,-0.006015514777225395,4.89069423929099,4.0,1.3696192309193247,-10.73099052862495
W2,none,both,1044,0,0.42432950191570884,0.5281876682132092,-6.764523183026959,0.9999999999933126,551.4279256145903,443.0,0.005452281236005956,-0.00489832339160462,4.024904214559387,3.0,1.360562606274227,-10.385816629750034
W2,none,hist_rising,3478,2,0.41460609545715926,0.5352711361885882,-14.315253776412721,1.0,1861.67301166391,1442.0,0.0053274159829814465,-0.00880949523485075,5.949683726279471,5.0,1.2413803395394267,-12.066504073142898
W2,none,recent_cross,503,1,0.44731610337972166,0.5351105126365759,-4.000861362731787,0.9999684438361599,269.1605878561977,225.0,0.012102307081999292,-0.004504323171785951,6.043737574552684,5.0,1.5596884395493147,-8.779440925685428
W2,80,none,3410,2,0.41143695014662757,0.5355830706415546,-14.58478667368852,1.0,1826.3382708877014,1403.0,0.005630825023238635,-0.009547281696137111,6.080058651026393,6.0,1.2494362106411625,-12.414612049492707
W2,80,dif_gt_dea,1138,1,0.4349736379613357,0.5306069071063017,-6.507351996516319,0.9999999999617565,603.8306602869712,495.0,0.009660769994774976,-0.006059038219062951,5.352372583479789,5.0,1.4904786040037128,-9.563326914496596
W2,80,dif_gt_zero,1630,0,0.4343558282208589,0.535712357832395,-8.246431204686079,0.9999999999999999,873.2111432668039,708.0,0.007672404409443944,-0.006776809904596004,5.451533742331288,5.0,1.439605912354054,-10.135652961153612
W2,80,both,653,0,0.444104134762634,0.5314212469682239,-4.519289620801081,0.9999968976265851,347.0180742702502,290.0,0.00908980135295538,-0.004962219647587585,4.869831546707504,4.0,1.545986655571901,-8.73171122055899
W2,80,hist_rising,3210,2,0.41557632398753896,0.536202590459889,-13.752133291628352,1.0,1721.210315376244,1334.0,0.005777383308185743,-0.009648472453388734,6.207165109034268,6.0,1.2526841438056207,-12.062626647235009
W2,80,recent_cross,476,1,0.45168067226890757,0.5350416845973316,-3.7004848805808233,0.9998924060495703,254.67984186832985,215.0,0.013143193568700934,-0.004499350550359049,6.2100840336134455,6.0,1.5931048510778298,-8.336101232842402
