stage,band,macd_mode,exit,lookahead,n_closed,n_open,win_rate,base_rate,z,p_value,expected_wins,wins,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,edge_pp,symbols_scored,symbols_with_positive_edge
S,b_00_20,none,death_cross,False,176,0,0.3409090909090909,0.5273876512268262,-5.0402785352263955,0.9999997675726077,92.8202266159214,60.0,-0.007454409942674709,-0.016937857077932494,6.7727272727272725,6.0,0.8084292760387403,-18.64785603177353,4,0
S,b_00_20,none,k_turn_down,False,176,0,0.3125,0.5178572215164923,-5.535388047664131,0.999999984472998,91.14287098690264,55.0,0.0004888629465154742,-0.015069481367121884,3.9886363636363638,3.0,1.0191254196911554,-20.535722151649228,4,0
S,b_00_20,none,k_over_80,False,99,0,0.6060606060606061,0.563788677802961,0.7523167461564116,0.225930299772794,55.815079102493144,60.0,0.00832691524852394,0.039567540496363796,32.4040404040404,29.0,1.1559049323267265,4.227192825764503,4,3
S,b_00_20,none,macd_death,False,121,0,0.4793388429752066,0.55982028533895,-1.889201025146385,0.9705675512850634,67.73825452601295,58.0,0.014844803072335546,-0.0026711806144252837,29.330578512396695,27.0,1.2330523108744258,-8.048144236374338,4,1
S,b_00_20,none,trail_5,False,150,1,0.4066666666666667,0.538670160688773,-3.33831770587461,0.9995785634201005,80.80052410331595,61.0,0.008097844783403889,-0.018161500681402765,14.32,8.0,1.2080536336534184,-13.200349402210637,4,0
S,b_00_20,none,trail_10,False,131,1,0.4198473282442748,0.5606411039679067,-3.3719191547065317,0.9996267682170785,73.44398461979577,55.0,0.03353722153248086,-0.021641788814083185,35.969465648854964,19.0,1.5910659418202286,-14.079377572363189,4,0
S,b_00_20,none,fixed_5,False,147,0,0.46258503401360546,0.5242944511370251,-1.5828013062716904,0.9432666205465533,77.07128431714268,68.0,-0.0019115779552741862,-0.0045712669116128035,5.0,5.0,0.940070690842628,-6.170941712341965,4,0
S,b_00_20,none,fixed_10,False,134,0,0.44776119402985076,0.5454097736756599,-2.360387457728654,0.9908720716828537,73.08490967253843,60.0,-0.007481949783475158,-0.007316334075588848,10.0,10.0,0.8391488333392342,-9.764857964580914,4,0
S,b_00_20,none,fixed_20,False,122,0,0.48360655737704916,0.5505869025764184,-1.583908727451766,0.9433927544816371,67.17160211432305,59.0,-0.009336011649634244,-0.001700852041894907,20.0,20.0,0.8631693837093599,-6.698034519936924,4,0
S,b_00_20,dif_gt_dea,death_cross,False,12,0,0.4166666666666667,0.5139230743120343,-0.9643866345052112,0.8325739397177365,6.167076891744411,5.0,0.042277232933130404,-0.014913227024798748,6.333333333333333,4.5,2.3078237205363417,-9.725640764536763,0,0
S,b_00_20,dif_gt_dea,k_turn_down,False,12,0,0.3333333333333333,0.5102077183445451,-1.51680428510945,0.9353419475798976,6.122492620134542,4.0,0.03495741411381239,-0.02016230807090058,4.416666666666667,3.0,2.3681514375112647,-17.687438501121182,0,0
S,b_00_20,dif_gt_dea,k_over_80,False,7,0,0.5714285714285714,0.5370762627326627,-0.19847964892571351,0.5786650970909085,3.759533839128639,4.0,0.07879191347034772,0.04459458370988978,30.0,31.0,2.8660380431608727,3.435230869590866,0,0
S,b_00_20,dif_gt_dea,macd_death,False,10,0,0.6,0.5162021364811007,0.2150182672742142,0.41487653820857506,5.162021364811007,6.0,0.08417215900770209,0.020962227488862117,19.7,21.5,2.588609293047397,8.379786351889928,0,0
