arm,window,symbol,n_closed,n_open,win_rate,base_rate,edge_pp,z,p_value,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,symbols_with_positive_edge,symbols_scored,expected_wins,wins
A-MAIN,W1,ALL,0,0,,,,,,,,,,,0,0,,
A-LOOKAHEAD,W1,ALL,0,0,,,,,,,,,,,0,0,,
A-CLOSE-FILL,W1,ALL,0,0,,,,,,,,,,,0,0,,
A-NOMACD,W1,ALL,216,1,0.4351851851851852,0.580849772615357,-14.56645874301718,-4.418890336246662,0.9999950395515578,0.004907734014702058,-0.013018356282235133,7.5092592592592595,7.0,1.191359070284683,0,5,125.46355088491711,94.0
A-NOMACD-LOOKAHEAD,W1,ALL,215,1,0.6465116279069767,0.5809854208914358,6.5526207015540905,1.8829853548623268,0.029851176348939728,0.04200319234724318,0.018825916281648647,7.53953488372093,7.0,5.537919031318645,5,5,124.91186549165869,139.0
A-NOMACD-CLOSE-FILL,W1,ALL,216,1,0.4027777777777778,0.5802179962838793,-17.744021850610146,-5.366790789996937,0.9999999599250332,0.004206679509212462,-0.018135373775167052,7.5092592592592595,7.0,1.1542895322778814,0,5,125.32708719731792,87.0
A-NOK30,W1,ALL,352,0,0.4346590909090909,0.5631249594704038,-12.846586856131287,-4.920071529165405,0.9999995674370498,0.005490404233548441,-0.002896093499968888,4.025568181818182,3.0,1.443286369222399,0,5,198.21998573358212,153.0
A-NOK30-LOOKAHEAD,W1,ALL,352,0,0.8693181818181818,0.5631249594704038,30.6193222347778,11.544739906884184,3.9239253634751743e-31,0.04224757086608309,0.025089568535508477,4.025568181818182,3.0,19.255636359877716,5,5,198.21998573358212,306.0
A-NOK30-CLOSE-FILL,W1,ALL,352,0,0.4403409090909091,0.5627166007011885,-12.237569161027933,-4.689187461019354,0.9999986285398803,0.007958137635027257,-0.003301289259854845,4.025568181818182,3.0,1.6615217034123175,0,5,198.07624344681835,155.0
A-MAIN,W2,ALL,0,0,,,,,,,,,,,0,0,,
A-LOOKAHEAD,W2,ALL,0,0,,,,,,,,,,,0,0,,
A-CLOSE-FILL,W2,ALL,0,0,,,,,,,,,,,0,0,,
A-NOMACD,W2,ALL,916,1,0.36026200873362446,0.5347069318149363,-17.44449230813119,-10.64334894204724,1.0,-0.002946780354596431,-0.01905847502242386,6.8024017467248905,6.0,0.9080786533137194,0,5,489.7915495424817,330.0
A-NOMACD-LOOKAHEAD,W2,ALL,915,1,0.6349726775956284,0.5346784729026431,10.029420469298522,6.063562348288364,6.656956772803543e-10,0.03970925689602088,0.014528964191210747,6.797814207650274,6.0,4.57650007354396,5,5,489.2308027059185,581.0
A-NOMACD-CLOSE-FILL,W2,ALL,916,1,0.34279475982532753,0.532095531243523,-18.930077141819552,-11.542003050867907,1.0,-0.0020289827211887514,-0.0228870175552065,6.8024017467248905,6.0,0.9375255772377739,0,5,487.39950661906715,314.0
A-NOK30,W2,ALL,1044,0,0.42432950191570884,0.5281876682132092,-10.385816629750034,-6.764523183026959,0.9999999999933126,0.005452281236005956,-0.00489832339160462,4.024904214559387,3.0,1.360562606274227,0,5,551.4279256145903,443.0
A-NOK30-LOOKAHEAD,W2,ALL,1044,0,0.8735632183908046,0.5281876682132092,34.537555017759544,22.360803081468582,4.739586643814593e-111,0.04933996257117429,0.030333925170527243,4.024904214559387,3.0,25.062438029271235,5,5,551.4279256145903,912.0
A-NOK30-CLOSE-FILL,W2,ALL,1044,0,0.4109195402298851,0.5247553278073198,-11.383578757743473,-7.408374924729036,0.999999999999936,0.006994626797898102,-0.005367213080950062,4.024904214559387,3.0,1.4828630157522866,0,5,547.8445622308419,429.0
