arm,window,symbol,n_closed,n_open,win_rate,base_rate,edge_pp,z,p_value,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,expected_wins,wins
A-MAIN,W1,NVDA,0,0,,,,,,,,,,,,
A-MAIN,W1,AAPL,0,0,,,,,,,,,,,,
A-MAIN,W1,MSFT,0,0,,,,,,,,,,,,
A-MAIN,W1,META,0,0,,,,,,,,,,,,
A-MAIN,W1,AMD,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W1,NVDA,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W1,AAPL,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W1,MSFT,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W1,META,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W1,AMD,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W1,NVDA,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W1,AAPL,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W1,MSFT,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W1,META,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W1,AMD,0,0,,,,,,,,,,,,
A-NOMACD,W1,NVDA,40,0,0.575,0.605010518022939,-3.001051802293908,-0.5512046691425689,0.7092533101571259,0.03194826836712009,0.020379770770281525,8.225,9.0,2.437421510630882,24.200420720917563,23.0
A-NOMACD,W1,AAPL,48,1,0.4583333333333333,0.5954690936315208,-13.713576029818746,-2.0875766556626045,0.9815819801942706,0.0020928822133090158,-0.008887014895437972,7.4375,7.0,1.1076545004391767,28.582516494312998,22.0
A-NOMACD,W1,MSFT,36,0,0.4722222222222222,0.5953846914354604,-12.316246921323815,-1.6788223551347496,0.9534066647939076,0.002244902799682801,-0.013543841466354178,7.638888888888889,7.0,1.1411355386227269,21.433848891676572,17.0
A-NOMACD,W1,META,46,0,0.3695652173913043,0.5597487381465349,-19.018352075523058,-2.750872472239566,0.9970281611345148,-0.001721089507500647,-0.019755308680640293,6.8478260869565215,6.5,0.9357766967390276,25.748441954740606,17.0
A-NOMACD,W1,AMD,46,0,0.32608695652173914,0.5543113657232477,-22.822440920150854,-3.263906515936139,0.9994505629164339,-0.006955759069381376,-0.02325672056019984,7.521739130434782,7.0,0.8326671200632059,25.498322823269394,15.0
A-NOMACD-LOOKAHEAD,W1,NVDA,40,0,0.775,0.605010518022939,16.9989481977061,2.0420578681200148,0.020572895736905603,0.07817787197178885,0.05319292808730647,8.225,9.0,17.441532179280713,24.200420720917563,31.0
A-NOMACD-LOOKAHEAD,W1,AAPL,47,1,0.6595744680851063,0.5964006617245654,6.317380636054093,0.7357367100559287,0.23094547215626515,0.029809513977579416,0.011549732499257725,7.574468085106383,7.0,6.15703741359914,28.030831101054574,31.0
A-NOMACD-LOOKAHEAD,W1,MSFT,36,0,0.6111111111111112,0.5953846914354604,1.5726419675650805,0.022508990832220955,0.49102097008549767,0.025345956659503052,0.016746827591461733,7.638888888888889,7.0,5.035389752784157,21.433848891676572,22.0
A-NOMACD-LOOKAHEAD,W1,META,46,0,0.5869565217391305,0.5597487381465349,2.720778359259557,0.22354471684114388,0.4115557922540584,0.028142935600763544,0.010599107192605595,6.8478260869565215,6.5,3.5049180470625942,25.748441954740606,27.0
A-NOMACD-LOOKAHEAD,W1,AMD,46,0,0.6086956521739131,0.5543113657232477,5.43842864506654,0.594025769648174,0.27624743865825974,0.049902061770918785,0.018889370412099704,7.521739130434782,7.0,3.9232629693292504,25.498322823269394,28.0
A-NOMACD-CLOSE-FILL,W1,NVDA,40,0,0.525,0.6036575544831668,-7.86575544831668,-1.181349161246514,0.8812679774239133,0.030658610640565197,0.017656944338844682,8.225,9.0,2.291270617075764,24.146302179326675,21.0
A-NOMACD-CLOSE-FILL,W1,AAPL,48,1,0.4166666666666667,0.5899817668251451,-17.331510015847844,-2.59524973016626,0.9952738893560044,0.003337931887352793,-0.01809964829247873,7.4375,7.0,1.1520096200174916,28.31912480760697,20.0
A-NOMACD-CLOSE-FILL,W1,MSFT,36,0,0.4166666666666667,0.5966333875082301,-17.996672084156344,-2.376334296161839,0.9912571934463256,0.0009612434237445369,-0.012317825231845048,7.638888888888889,7.0,1.056169946201444,21.478801950296283,15.0
A-NOMACD-CLOSE-FILL,W1,META,46,0,0.34782608695652173,0.5622058132427907,-21.437972628626902,-3.0838484671095716,0.9989782917644904,-0.006220793949974007,-0.021269037430311,6.8478260869565215,6.5,0.795835047621473,25.861467409168373,16.0
A-NOMACD-CLOSE-FILL,W1,AMD,46,0,0.32608695652173914,0.554812844585209,-22.872588806346982,-3.2710688316511507,0.9994642908531374,-0.004921100516992378,-0.03422638138003303,7.521739130434782,7.0,0.8788037416413385,25.521390850919612,15.0
A-NOK30,W1,NVDA,78,0,0.44871794871794873,0.5788443583966001,-13.012640967865135,-2.4446267964579116,0.9927498949560909,0.008806258891827378,-0.005643198353208867,4.0256410256410255,3.0,1.5742208265902533,45.149859954934804,35.0
A-NOK30,W1,AAPL,75,0,0.41333333333333333,0.5728344963924584,-15.950116305912509,-2.911780019713772,0.9982031218535551,0.0026041734673749655,-0.0024808219570591206,3.6666666666666665,3.0,1.2877979367453953,42.962587229434384,31.0
A-NOK30,W1,MSFT,69,0,0.42028985507246375,0.5727077587001549,-15.241790362769114,-2.6845884363828474,0.9963690415814938,0.003931566943037195,-0.0029083233999239733,4.246376811594203,3.0,1.5780507161878146,39.516835350310686,29.0
A-NOK30,W1,META,65,0,0.4461538461538462,0.5432907024518383,-9.713685629799212,-1.698207355097114,0.9552656835728585,-0.0003800696040914555,-0.0020892932989213797,3.9076923076923076,3.0,0.9694136948420627,35.31389565936949,29.0
A-NOK30,W1,AMD,65,0,0.4461538461538462,0.5427201159928119,-9.65662698389657,-1.688201527715059,0.9543137249647374,0.012366884489073407,-0.0026399758711341814,4.323076923076923,3.0,1.665487459248563,35.276807539532776,29.0
A-NOK30-LOOKAHEAD,W1,NVDA,78,0,0.8461538461538461,0.5788443583966001,26.730948775724606,4.671281864395384,1.4966293093759049e-06,0.0483213915838312,0.029625266752489554,4.0256410256410255,3.0,12.077030566417593,45.149859954934804,66.0
A-NOK30-LOOKAHEAD,W1,AAPL,75,0,0.88,0.5728344963924584,30.71655036075416,5.265679348376632,6.983594340398709e-08,0.026547883108939477,0.018445099524088127,3.6666666666666665,3.0,28.94709611050329,42.962587229434384,66.0
A-NOK30-LOOKAHEAD,W1,MSFT,69,0,0.8695652173913043,0.5727077587001549,29.685745869114943,4.869508441857356,5.593810213419464e-07,0.024943544970635768,0.017549475434881057,4.246376811594203,3.0,25.979144868283587,39.516835350310686,60.0
A-NOK30-LOOKAHEAD,W1,META,65,0,0.8307692307692308,0.5432907024518383,28.74785283173925,4.532469778775573,2.9149009404557633e-06,0.0276157100035652,0.017004210542299614,3.9076923076923076,3.0,8.0457525855322,35.31389565936949,54.0
A-NOK30-LOOKAHEAD,W1,AMD,65,0,0.9230769230769231,0.5427201159928119,38.03568070841112,6.034350286523861,7.980176045535463e-10,0.08607476022994383,0.05977176764686165,4.323076923076923,3.0,71.43517317286938,35.276807539532776,60.0
A-NOK30-CLOSE-FILL,W1,NVDA,78,0,0.44871794871794873,0.579102484201641,-13.038453548369228,-2.4494581578095196,0.9928464334120082,0.010250709776520964,-0.002823747188597958,4.0256410256410255,3.0,1.6985097825336957,45.169993767728,35.0
A-NOK30-CLOSE-FILL,W1,AAPL,75,0,0.4533333333333333,0.5673952675456874,-11.406193421235406,-2.1128857019513525,0.9826947240300913,0.006543854466215988,-0.002051185828190416,3.6666666666666665,3.0,2.118298984927691,42.55464506592655,34.0
A-NOK30-CLOSE-FILL,W1,MSFT,69,0,0.4782608695652174,0.5737440999350137,-9.548323036979633,-1.72822251541405,0.9580258307190952,0.004476804050694373,-0.0011117359746395383,4.246376811594203,3.0,1.6519759495962838,39.58834289551595,33.0
A-NOK30-CLOSE-FILL,W1,META,65,0,0.38461538461538464,0.5456411232932651,-16.102573867788045,-2.7343874041533285,0.9968751767106084,0.0017650526342717508,-0.008134308060143591,3.9076923076923076,3.0,1.125481056167103,35.46667301406223,25.0
A-NOK30-CLOSE-FILL,W1,AMD,65,0,0.4307692307692308,0.543024441593625,-11.225521082439416,-1.942464689908464,0.9739595647211156,0.016727570757987458,-0.00714288439069477,4.323076923076923,3.0,1.8609156069132966,35.29658870358562,28.0
A-MAIN,W2,NVDA,0,0,,,,,,,,,,,,
A-MAIN,W2,AAPL,0,0,,,,,,,,,,,,
A-MAIN,W2,MSFT,0,0,,,,,,,,,,,,
A-MAIN,W2,META,0,0,,,,,,,,,,,,
A-MAIN,W2,AMD,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W2,NVDA,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W2,AAPL,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W2,MSFT,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W2,META,0,0,,,,,,,,,,,,
A-LOOKAHEAD,W2,AMD,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W2,NVDA,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W2,AAPL,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W2,MSFT,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W2,META,0,0,,,,,,,,,,,,
A-CLOSE-FILL,W2,AMD,0,0,,,,,,,,,,,,
A-NOMACD,W2,NVDA,145,0,0.3586206896551724,0.5561020438819023,-19.74813542267299,-4.874247424583377,0.9999994538798607,-0.006008086058205386,-0.024979897227584535,6.779310344827586,6.0,0.8510294614361613,80.63479636287583,52.0
A-NOMACD,W2,AAPL,238,1,0.39915966386554624,0.5453747051285995,-14.621504126305329,-4.597867678035233,0.9999978658153555,0.003623099474401945,-0.01753834177271585,6.907563025210084,7.0,1.1330064680633665,129.7991798206067,95.0
A-NOMACD,W2,MSFT,184,0,0.375,0.5584277469820816,-18.342774698208164,-5.092147998683699,0.9999998229852123,-0.005623211943624448,-0.013797098286888243,6.630434782608695,6.0,0.74405994632216,102.75070544470302,69.0
