symbol,arm,signal_date,entry_date,exit_signal_date,exit_date,entry_price,exit_price,ret,hold_bars,entry_bar,exit_bar,closed,base_rate,base_n
NVDA,A-NOK30,1999-11-16,1999-11-17,1999-11-18,1999-11-19,0.06677135923021915,0.0765485122384231,0.14642734730760187,2,208,210,True,0.5328976682013961,6733
NVDA,A-NOK30,1999-11-19,1999-11-22,1999-11-23,1999-11-24,0.08388155665106713,0.07547528162879355,-0.10021601121736734,2,211,213,True,0.5328976682013961,6733
NVDA,A-NOK30,2000-03-07,2000-03-08,2000-03-15,2000-03-16,0.15884954888631642,0.2079438999790167,0.3090619484719819,6,284,290,True,0.5556546292168227,6729
NVDA,A-NOK30,2000-05-05,2000-05-08,2000-05-08,2000-05-09,0.17121996615503665,0.17217415917171253,0.005572907401534488,1,326,327,True,0.5246510246510246,6734
NVDA,A-NOK30,2000-05-16,2000-05-17,2000-05-26,2000-05-30,0.18886673284284422,0.20675163511554093,0.09469588425389186,8,333,341,True,0.5666716218225063,6727
NVDA,A-NOK30,2000-05-31,2000-06-01,2000-06-07,2000-06-08,0.22416031997556948,0.23870650028616053,0.06489186093317678,5,343,348,True,0.5530460624071323,6730
NVDA,A-NOK30,2000-06-16,2000-06-19,2000-06-23,2000-06-26,0.28496946069500856,0.2880692394875026,0.010877582408072906,5,355,360,True,0.5530460624071323,6730
NVDA,A-NOK30,2000-06-26,2000-06-27,2000-06-27,2000-06-28,0.3138234907532215,0.27757682766979236,-0.11550015901114341,1,361,362,True,0.5246510246510246,6734
NVDA,A-NOK30,2000-08-15,2000-08-16,2000-08-22,2000-08-23,0.28639989067515637,0.2658923433045972,-0.0716045921743017,5,396,401,True,0.5530460624071323,6730
NVDA,A-NOK30,2000-08-30,2000-08-31,2000-09-06,2000-09-07,0.30404653718598046,0.2871159931459214,-0.05568405480540928,4,407,411,True,0.5449413162977269,6731
NVDA,A-NOK30,2001-01-18,2001-01-19,2001-01-22,2001-01-23,0.2098522075424294,0.18838961856229663,-0.10227478296025694,2,503,505,True,0.5328976682013961,6733
NVDA,A-NOK30,2001-01-23,2001-01-24,2001-01-25,2001-01-26,0.20961324255606223,0.1774202938587295,-0.15358260911746802,2,506,508,True,0.5328976682013961,6733
NVDA,A-NOK30,2001-03-22,2001-03-23,2001-03-28,2001-03-29,0.2627918552867217,0.25760513126826795,-0.019737004454703277,4,547,551,True,0.5449413162977269,6731
NVDA,A-NOK30,2001-05-01,2001-05-02,2001-05-09,2001-05-10,0.35655743519535904,0.32576648651058443,-0.08635620981484837,6,574,580,True,0.5556546292168227,6729
NVDA,A-NOK30,2001-08-16,2001-08-17,2001-08-17,2001-08-20,0.33309227273208986,0.31760101890641207,-0.04650739477867616,1,649,650,True,0.5246510246510246,6734
NVDA,A-NOK30,2001-08-27,2001-08-28,2001-08-30,2001-08-31,0.33572482886733856,0.318402269455681,-0.05159749271479275,3,656,659,True,0.5372846108140226,6732
NVDA,A-NOK30,2001-10-24,2001-10-25,2001-10-26,2001-10-29,0.34720991581011285,0.3506438742904426,0.009890150954697141,2,693,695,True,0.5328976682013961,6733
NVDA,A-NOK30,2001-11-02,2001-11-05,2001-11-15,2001-11-16,0.36621103908173236,0.4044422455721034,0.10439665223155226,9,700,709,True,0.5721082366934285,6726
NVDA,A-NOK30,2002-10-30,2002-10-31,2002-11-05,2002-11-06,0.08638236138198953,0.11850938187749777,0.3719164419856509,4,949,953,True,0.5449413162977269,6731
NVDA,A-NOK30,2002-11-06,2002-11-07,2002-11-07,2002-11-08,0.12026392029446781,0.09386103972200613,-0.21954116004046664,1,954,955,True,0.5246510246510246,6734
NVDA,A-NOK30,2003-04-29,2003-04-30,2003-05-08,2003-05-09,0.10919931610731357,0.1436916452811641,0.31586579846300356,7,1072,1079,True,0.5610879904875149,6728
NVDA,A-NOK30,2003-05-09,2003-05-12,2003-05-19,2003-05-20,0.16345557511362394,0.15330666209016278,-0.062089733044628614,6,1080,1086,True,0.5556546292168227,6729
NVDA,A-NOK30,2003-05-27,2003-05-28,2003-06-02,2003-06-03,0.17284168978257136,0.18650140207849636,0.07903019412219603,4,1091,1095,True,0.5449413162977269,6731
NVDA,A-NOK30,2003-06-04,2003-06-05,2003-06-06,2003-06-09,0.1945140029030795,0.19535274615469203,0.004311994196276148,2,1097,1099,True,0.5328976682013961,6733
NVDA,A-NOK30,2003-09-17,2003-09-18,2003-09-19,2003-09-22,0.15063558123439547,0.14842223591800735,-0.014693376546568104,2,1170,1172,True,0.5328976682013961,6733
NVDA,A-NOK30,2003-11-05,2003-11-06,2003-11-14,2003-11-17,0.140486639338507,0.15101736844985017,0.07495893674251142,7,1205,1212,True,0.5610879904875149,6728
NVDA,A-NOK30,2003-11-25,2003-11-26,2003-12-04,2003-12-05,0.16528701415303457,0.15727455793543635,-0.04847601766330967,6,1219,1225,True,0.5556546292168227,6729
NVDA,A-NOK30,2004-01-05,2004-01-06,2004-01-13,2004-01-14,0.18131209025172196,0.1873402712409261,0.03324754008866693,6,1245,1251,True,0.5556546292168227,6729
NVDA,A-NOK30,2004-02-20,2004-02-23,2004-02-23,2004-02-24,0.18390624809055042,0.17474914593774515,-0.04979222972509645,1,1277,1278,True,0.5246510246510246,6734
NVDA,A-NOK30,2004-09-16,2004-09-17,2004-09-22,2004-09-23,0.10851254201672003,0.11087785729284852,0.021797621105991816,4,1421,1425,True,0.5449413162977269,6731
NVDA,A-NOK30,2004-10-01,2004-10-04,2004-10-08,2004-10-11,0.11637214166748766,0.11087781935930252,-0.04721338139401243,5,1432,1437,True,0.5530460624071323,6730
NVDA,A-NOK30,2004-11-18,2004-11-19,2004-11-19,2004-11-22,0.15490920019778806,0.14521726749620487,-0.06256524912147587,1,1466,1467,True,0.5246510246510246,6734
NVDA,A-NOK30,2004-12-03,2004-12-06,2004-12-09,2004-12-10,0.15895304278357567,0.17856492074296781,0.12338158248467712,4,1476,1480,True,0.5449413162977269,6731
NVDA,A-NOK30,2004-12-10,2004-12-13,2004-12-13,2004-12-14,0.17520698709925647,0.17314659085628656,-0.011759783539926238,1,1481,1482,True,0.5246510246510246,6734
NVDA,A-NOK30,2004-12-16,2004-12-17,2004-12-17,2004-12-20,0.1838303023543865,0.17803110965445823,-0.03154644596486944,1,1485,1486,True,0.5246510246510246,6734
NVDA,A-NOK30,2005-02-11,2005-02-14,2005-02-14,2005-02-15,0.19947344768287814,0.19665041570476266,-0.014152419837869967,1,1524,1525,True,0.5246510246510246,6734
NVDA,A-NOK30,2005-02-18,2005-02-22,2005-02-23,2005-02-24,0.21427792143520905,0.20847867303011539,-0.027064143455615808,2,1529,1531,True,0.5328976682013961,6733
NVDA,A-NOK30,2005-02-24,2005-02-25,2005-03-02,2005-03-03,0.21725397994982382,0.21366717308740232,-0.016509740642035142,4,1532,1536,True,0.5449413162977269,6731
