symbol,arm,signal_date,entry_date,exit_signal_date,exit_date,entry_price,exit_price,ret,hold_bars,entry_bar,exit_bar,closed,base_rate,base_n
NVDA,A-NOMACD-CLOSE-FILL,2000-03-31,2000-03-31,2000-04-12,2000-04-12,0.16117455065250397,0.15035445988178253,-0.06713274972330963,8,301,309,True,0.56064209274673,6728
NVDA,A-NOMACD-CLOSE-FILL,2000-12-01,2000-12-01,2000-12-07,2000-12-07,0.16978958249092102,0.15452733635902405,-0.08988917875873259,4,471,475,True,0.5460487225193108,6732
NVDA,A-NOMACD-CLOSE-FILL,2000-12-26,2000-12-26,2001-01-02,2001-01-02,0.12829571962356567,0.11422662436962128,-0.10966145476423328,4,487,491,True,0.5460487225193108,6732
NVDA,A-NOMACD-CLOSE-FILL,2001-07-13,2001-07-13,2001-07-16,2001-07-16,0.30890175700187683,0.28406286239624023,-0.08041033772911066,1,624,625,True,0.5178916109873793,6735
NVDA,A-NOMACD-CLOSE-FILL,2001-07-17,2001-07-17,2001-07-23,2001-07-23,0.299935907125473,0.25869014859199524,-0.13751524093520195,4,626,630,True,0.5460487225193108,6732
NVDA,A-NOMACD-CLOSE-FILL,2001-07-25,2001-07-25,2001-08-08,2001-08-08,0.27353212237358093,0.32908597588539124,0.20309809696111936,10,632,642,True,0.5697294082664288,6726
NVDA,A-NOMACD-CLOSE-FILL,2001-09-24,2001-09-24,2001-09-26,2001-09-26,0.22892935574054718,0.21206462383270264,-0.073667843310396,2,670,672,True,0.534006534006534,6734
NVDA,A-NOMACD-CLOSE-FILL,2001-09-28,2001-09-28,2001-10-01,2001-10-01,0.209623321890831,0.19184279441833496,-0.08482132289534028,1,674,675,True,0.5178916109873793,6735
NVDA,A-NOMACD-CLOSE-FILL,2002-02-26,2002-02-26,2002-02-28,2002-02-28,0.4197036325931549,0.389256089925766,-0.07254533986105294,2,776,778,True,0.534006534006534,6734
NVDA,A-NOMACD-CLOSE-FILL,2002-04-01,2002-04-01,2002-04-09,2002-04-09,0.33293941617012024,0.31103891134262085,-0.06577924920823741,6,799,805,True,0.5570579494799406,6730
NVDA,A-NOMACD-CLOSE-FILL,2002-04-10,2002-04-10,2002-04-11,2002-04-11,0.2938692569732666,0.28097227215766907,-0.04388681193953803,1,806,807,True,0.5178916109873793,6735
NVDA,A-NOMACD-CLOSE-FILL,2002-04-15,2002-04-15,2002-04-19,2002-04-19,0.29119813442230225,0.2817360460758209,-0.03249364342684691,4,809,813,True,0.5460487225193108,6732
NVDA,A-NOMACD-CLOSE-FILL,2002-04-29,2002-04-29,2002-05-06,2002-05-06,0.2703655958175659,0.2403758019208908,-0.11092311433334612,5,819,824,True,0.5522210667062843,6731
NVDA,A-NOMACD-CLOSE-FILL,2002-06-06,2002-06-06,2002-06-11,2002-06-11,0.24884627759456635,0.23343198001384735,-0.06194305066452632,3,846,849,True,0.5330461904054656,6733
NVDA,A-NOMACD-CLOSE-FILL,2002-06-17,2002-06-17,2002-06-19,2002-06-19,0.21694906055927277,0.1819988340139389,-0.16109876878579565,2,853,855,True,0.534006534006534,6734
NVDA,A-NOMACD-CLOSE-FILL,2002-07-03,2002-07-03,2002-07-17,2002-07-17,0.13316088914871216,0.1487281322479248,0.11690552082321548,9,865,874,True,0.5645904563698528,6727
NVDA,A-NOMACD-CLOSE-FILL,2002-07-30,2002-07-30,2002-07-31,2002-07-31,0.12377482652664185,0.08447492867708206,-0.3175112335229223,1,883,884,True,0.5178916109873793,6735
NVDA,A-NOMACD-CLOSE-FILL,2002-08-08,2002-08-08,2002-08-26,2002-08-26,0.07188380509614944,0.08836672455072403,0.2292994845296179,12,890,902,True,0.573170731707317,6724
NVDA,A-NOMACD-CLOSE-FILL,2002-10-01,2002-10-01,2002-10-04,2002-10-04,0.06883176416158676,0.06211589276790619,-0.09756936314917997,3,927,930,True,0.5330461904054656,6733
NVDA,A-NOMACD-CLOSE-FILL,2002-12-16,2002-12-16,2002-12-18,2002-12-18,0.10698600113391876,0.09866856783628464,-0.07774319265585838,2,980,982,True,0.534006534006534,6734
NVDA,A-NOMACD-CLOSE-FILL,2002-12-23,2002-12-23,2002-12-24,2002-12-24,0.09851564466953278,0.09653220325708389,-0.02013326329135101,1,985,986,True,0.5178916109873793,6735
NVDA,A-NOMACD-CLOSE-FILL,2003-01-02,2003-01-02,2003-01-10,2003-01-10,0.09393706917762756,0.09439489245414734,0.004873723233307148,6,991,997,True,0.5570579494799406,6730
NVDA,A-NOMACD-CLOSE-FILL,2003-01-28,2003-01-28,2003-02-07,2003-02-07,0.07920955866575241,0.07447803020477295,-0.05973431162450371,8,1008,1016,True,0.56064209274673,6728
NVDA,A-NOMACD-CLOSE-FILL,2003-08-01,2003-08-01,2003-08-08,2003-08-08,0.15048258006572723,0.11828052252531052,-0.21399192867607408,5,1137,1142,True,0.5522210667062843,6731
NVDA,A-NOMACD-CLOSE-FILL,2003-10-03,2003-10-03,2003-10-17,2003-10-17,0.12804751098155975,0.12713180482387543,-0.007151299940661882,10,1181,1191,True,0.5697294082664288,6726
NVDA,A-NOMACD-CLOSE-FILL,2004-02-02,2004-02-02,2004-02-19,2004-02-19,0.17253680527210236,0.17970961332321167,0.041572625851031164,12,1263,1275,True,0.573170731707317,6724
NVDA,A-NOMACD-CLOSE-FILL,2004-03-05,2004-03-05,2004-03-08,2004-03-08,0.16933175921440125,0.1634555459022522,-0.034702369711453906,1,1286,1287,True,0.5178916109873793,6735
NVDA,A-NOMACD-CLOSE-FILL,2004-03-16,2004-03-16,2004-04-06,2004-04-06,0.1652110517024994,0.1994735598564148,0.20738629650280882,15,1293,1308,True,0.5841392649903289,6721
NVDA,A-NOMACD-CLOSE-FILL,2004-04-23,2004-04-23,2004-04-26,2004-04-26,0.17734430730342865,0.17039945721626282,-0.0391602650954197,1,1320,1321,True,0.5178916109873793,6735
NVDA,A-NOMACD-CLOSE-FILL,2004-05-04,2004-05-04,2004-05-17,2004-05-17,0.16444724798202515,0.16154812276363373,-0.017629514959765724,9,1327,1336,True,0.5645904563698528,6727
NVDA,A-NOMACD-CLOSE-FILL,2004-06-22,2004-06-22,2004-07-01,2004-07-01,0.15231402218341827,0.1490330547094345,-0.021540810405707655,7,1360,1367,True,0.5575865656115322,6729
NVDA,A-NOMACD-CLOSE-FILL,2004-07-20,2004-07-20,2004-07-21,2004-07-21,0.11950117349624634,0.1122513934969902,-0.060667019303236036,1,1379,1380,True,0.5178916109873793,6735
NVDA,A-NOMACD-CLOSE-FILL,2004-07-22,2004-07-22,2004-07-26,2004-07-26,0.11461762338876724,0.10843653231859207,-0.05392792912142108,2,1381,1383,True,0.534006534006534,6734
NVDA,A-NOMACD-CLOSE-FILL,2004-07-27,2004-07-27,2004-08-06,2004-08-06,0.11202246695756912,0.07195983082056046,-0.35763036848834295,8,1384,1392,True,0.56064209274673,6728
NVDA,A-NOMACD-CLOSE-FILL,2005-01-14,2005-01-14,2005-01-24,2005-01-24,0.16414235532283783,0.15704557299613953,-0.043235533648461666,5,1504,1509,True,0.5522210667062843,6731
NVDA,A-NOMACD-CLOSE-FILL,2005-01-25,2005-01-25,2005-02-09,2005-02-09,0.15979275107383728,0.18947747349739075,0.18577014429044225,11,1510,1521,True,0.5723420074349442,6725
