symbol,arm,signal_date,entry_date,exit_signal_date,exit_date,entry_price,exit_price,ret,hold_bars,entry_bar,exit_bar,closed,base_rate,base_n
NVDA,b_20_80|both|k_over_80,2018-07-26,2018-07-27,2018-08-14,2018-08-15,6.337132824054152,6.484238823873163,0.023213336993763933,13,4910,4923,True,0.6129930394431554,2155
NVDA,b_20_80|both|k_over_80,2018-08-22,2018-08-23,2018-08-24,2018-08-27,6.459269652306198,6.759904840909922,0.04654321692490204,2,4929,4931,True,0.5480147737765466,2166
NVDA,b_20_80|both|k_over_80,2019-02-20,2019-02-21,2019-03-15,2019-03-18,3.9386119879459383,4.240614399309603,0.07667737067980762,17,5052,5069,True,0.6262203626220363,2151
NVDA,b_20_80|both|k_over_80,2019-04-01,2019-04-02,2019-04-04,2019-04-05,4.542275182545903,4.709590777561988,0.03683519564358617,3,5080,5083,True,0.5630484988452656,2165
NVDA,b_20_80|both|k_over_80,2019-07-12,2019-07-15,2019-07-22,2019-07-23,4.180437480835474,4.290619967285724,0.026356688015396257,6,5151,5157,True,0.5832562442183163,2162
NVDA,b_20_80|both|k_over_80,2019-09-04,2019-09-05,2019-09-10,2019-09-11,4.294121570349542,4.564878797911657,0.06305299538598641,4,5188,5192,True,0.5730129390018485,2164
NVDA,b_20_80|both|k_over_80,2019-10-21,2019-10-22,2019-10-28,2019-10-29,4.92580670192421,5.122789661614695,0.03998998978452306,5,5221,5226,True,0.5755894590846047,2163
NVDA,b_20_80|both|k_over_80,2019-11-04,2019-11-05,2019-11-05,2019-11-06,5.228608631295536,5.182654607627181,-0.008788958384320478,1,5231,5232,True,0.5440701430549146,2167
NVDA,b_20_80|both|k_over_80,2020-01-16,2020-01-17,2020-02-10,2020-02-11,6.207168756490065,6.645175522806371,0.07056466216716539,16,5281,5297,True,0.6259293680297398,2152
NVDA,b_20_80|both|k_over_80,2020-04-13,2020-04-14,2020-04-15,2020-04-16,6.840176949824809,7.1406481386780065,0.04392739998647155,2,5340,5342,True,0.5480147737765466,2166
NVDA,b_20_80|both|k_over_80,2020-04-27,2020-04-28,2020-05-08,2020-05-11,7.536630547178379,7.767952289627352,0.030692992180116452,9,5350,5359,True,0.5891616489115331,2159
NVDA,b_20_80|both|k_over_80,2020-05-14,2020-05-15,2020-05-15,2020-05-18,7.849786375477367,8.716124111731206,0.11036449844804275,1,5363,5364,True,0.5440701430549146,2167
NVDA,b_20_80|both|k_over_80,2021-01-21,2021-01-22,2021-02-10,2021-02-11,13.684778315815404,14.920044844642259,0.0902657317728901,14,5536,5550,True,0.617455896007428,2154
NVDA,b_20_80|both|k_over_80,2021-11-19,2021-11-22,2022-02-09,2022-02-10,33.40735581710539,25.913138706568642,-0.22432835305988286,55,5747,5802,True,0.7094178892569806,2113
NVDA,b_20_80|both|k_over_80,2022-08-15,2022-08-16,2022-10-25,2022-10-26,18.867621402461417,12.837184898566917,-0.3196182695879082,50,5930,5980,True,0.6945231350330501,2118
NVDA,b_20_80|both|k_over_80,2022-11-04,2022-11-07,2022-11-07,2022-11-08,14.19282459299917,14.764407269491864,0.040272651349093413,1,5988,5989,True,0.5440701430549146,2167
NVDA,b_20_80|both|k_over_80,2022-11-10,2022-11-11,2022-11-11,2022-11-14,15.767918688568072,16.177903764636575,0.02600121703860303,1,5992,5993,True,0.5440701430549146,2167
NVDA,b_20_80|both|k_over_80,2022-11-30,2022-12-01,2023-01-12,2023-01-13,16.96130961638063,16.24191245912775,-0.04241401009259982,29,6005,6034,True,0.638148667601683,2139
NVDA,b_20_80|both|k_over_80,2023-02-14,2023-02-15,2023-02-15,2023-02-16,22.49900989243005,22.0839266243148,-0.018448957091881102,1,6056,6057,True,0.5440701430549146,2167
NVDA,b_20_80|both|k_over_80,2023-05-05,2023-05-08,2023-05-17,2023-05-18,28.46359684267218,30.347732971846412,0.06619459021951735,8,6112,6120,True,0.5893518518518519,2160
NVDA,b_20_80|both|k_over_80,2023-06-13,2023-06-14,2023-06-15,2023-06-16,40.74463443107391,43.36551525859182,0.06432456356803362,2,6138,6140,True,0.5480147737765466,2166
NVDA,b_20_80|both|k_over_80,2023-08-29,2023-08-30,2023-10-06,2023-10-09,48.94865462257738,44.758504384437536,-0.08560297050957455,27,6191,6218,True,0.6370854740775339,2141
NVDA,b_20_80|both|k_over_80,2024-01-08,2024-01-09,2024-01-11,2024-01-12,52.30802433098523,54.52307840206245,0.04234635315341295,3,6281,6284,True,0.5630484988452656,2165
NVDA,b_20_80|both|k_over_80,2024-02-23,2024-02-26,2024-03-01,2024-03-04,79.55858308487059,83.98071640863849,0.055583359485556816,5,6313,6318,True,0.5755894590846047,2163
NVDA,b_20_80|both|k_over_80,2024-10-04,2024-10-07,2024-10-09,2024-10-10,124.79500006476454,131.70421594134592,0.05536452480464549,3,6468,6471,True,0.5630484988452656,2165
NVDA,b_20_80|both|k_over_80,2025-06-03,2025-06-04,2025-06-10,2025-06-11,141.99101618842522,144.41764573923192,0.01709002172071572,5,6632,6637,True,0.5755894590846047,2163
NVDA,b_20_80|both|k_over_80,2025-09-29,2025-09-30,2025-10-01,2025-10-02,181.848063160254,189.35850113919957,0.04130062123525069,2,6713,6715,True,0.5480147737765466,2166
NVDA,b_20_80|both|k_over_80,2025-10-08,2025-10-09,2025-12-26,2025-12-29,191.9851285494953,187.4813341773615,-0.02345907938891567,55,6720,6775,True,0.7094178892569806,2113
NVDA,b_20_80|both|k_over_80,2026-07-22,2026-07-23,2026-08-07,2026-08-10,209.4600067138672,223.39999389648438,0.06655202299148155,12,6916,6928,True,0.6080705009276438,2156
AAPL,b_20_80|both|k_over_80,2018-03-09,2018-03-12,2018-04-13,2018-04-16,42.27951928008762,41.04599100081229,-0.029175551195452676,24,9391,9415,True,0.6226679104477612,2144
AAPL,b_20_80|both|k_over_80,2018-08-01,2018-08-02,2018-08-06,2018-08-07,47.21906796740019,49.27658070828396,0.043573768595014606,3,9491,9494,True,0.5681293302540416,2165
AAPL,b_20_80|both|k_over_80,2018-08-27,2018-08-28,2018-08-28,2018-08-29,51.7385414974785,52.00785214367495,0.00520522300014159,1,9509,9510,True,0.5473004153207199,2167
