symbol,arm,signal_date,entry_date,exit_signal_date,exit_date,entry_price,exit_price,ret,hold_bars,entry_bar,exit_bar,closed,base_rate,base_n
NVDA,b_20_80|none|death_cross,2018-02-12,2018-02-13,2018-02-27,2018-02-28,5.594423436273443,6.0905831790472815,0.08868827117318467,10,4796,4806,True,0.5963855421686747,2158
NVDA,b_20_80|none|death_cross,2018-03-06,2018-03-07,2018-03-19,2018-03-20,5.8805620802642675,5.957651760642879,0.013109236723702233,9,4811,4820,True,0.5891616489115331,2159
NVDA,b_20_80|none|death_cross,2018-04-10,2018-04-11,2018-04-20,2018-04-23,5.616431864787933,5.668810895066769,0.009326033243138632,8,4835,4843,True,0.5893518518518519,2160
NVDA,b_20_80|none|death_cross,2018-04-27,2018-04-30,2018-05-15,2018-05-16,5.608525393307064,6.028810902853696,0.07493690053506397,12,4848,4860,True,0.6080705009276438,2156
NVDA,b_20_80|none|death_cross,2018-05-25,2018-05-29,2018-06-11,2018-06-12,6.1450315432003935,6.469898714529508,0.05286664015396103,10,4868,4878,True,0.5963855421686747,2158
NVDA,b_20_80|none|death_cross,2018-07-05,2018-07-06,2018-07-20,2018-07-23,5.9766650814098945,6.176429400386047,0.03342404438848501,11,4895,4906,True,0.5915623551228558,2157
NVDA,b_20_80|none|death_cross,2018-07-26,2018-07-27,2018-07-30,2018-07-31,6.337132824054152,6.025369068604396,-0.049196342274281935,2,4910,4912,True,0.5480147737765466,2166
NVDA,b_20_80|none|death_cross,2018-08-03,2018-08-06,2018-08-16,2018-08-17,6.220190883311782,6.253568129968853,0.005365952152146969,9,4916,4925,True,0.5891616489115331,2159
NVDA,b_20_80|none|death_cross,2018-08-22,2018-08-23,2018-09-05,2018-09-06,6.459269652306198,6.870962963208796,0.06373682057933716,9,4929,4938,True,0.5891616489115331,2159
NVDA,b_20_80|none|death_cross,2018-09-17,2018-09-18,2018-09-20,2018-09-21,6.780177131055425,6.5988563179139845,-0.026742784094965888,3,4946,4949,True,0.5630484988452656,2165
NVDA,b_20_80|none|death_cross,2018-09-27,2018-09-28,2018-10-05,2018-10-08,6.746536001719056,6.59242317265542,-0.02284325304487622,6,4954,4960,True,0.5832562442183163,2162
NVDA,b_20_80|none|death_cross,2018-11-27,2018-11-28,2018-12-07,2018-12-10,3.9203270967711465,3.6102699118874186,-0.07908962115408602,7,4996,5003,True,0.5890791300323924,2161
NVDA,b_20_80|none|death_cross,2019-02-04,2019-02-05,2019-02-19,2019-02-20,3.7058500632451805,3.907907088268035,0.054523799283426655,10,5041,5051,True,0.5963855421686747,2158
NVDA,b_20_80|none|death_cross,2019-02-20,2019-02-21,2019-02-21,2019-02-22,3.9386119879459383,3.908897822960406,-0.007544324009694736,1,5052,5053,True,0.5440701430549146,2167
