symbol,arm,signal_date,entry_date,exit_signal_date,exit_date,entry_price,exit_price,ret,hold_bars,entry_bar,exit_bar,closed,base_rate,base_n
NVDA,b_50_80|recent_cross|k_over_80,2018-08-03,2018-08-06,2018-08-14,2018-08-15,6.220190883311782,6.484238823873163,0.0424501346525874,7,4916,4923,True,0.5890791300323924,2161
NVDA,b_50_80|recent_cross|k_over_80,2018-08-22,2018-08-23,2018-08-24,2018-08-27,6.459269652306198,6.759904840909922,0.04654321692490204,2,4929,4931,True,0.5480147737765466,2166
NVDA,b_50_80|recent_cross|k_over_80,2020-01-16,2020-01-17,2020-02-10,2020-02-11,6.207168756490065,6.645175522806371,0.07056466216716539,16,5281,5297,True,0.6259293680297398,2152
NVDA,b_50_80|recent_cross|k_over_80,2020-05-07,2020-05-08,2020-05-08,2020-05-11,7.6547801034035805,7.767952289627352,0.01478451172927242,1,5358,5359,True,0.5440701430549146,2167
NVDA,b_50_80|recent_cross|k_over_80,2020-05-14,2020-05-15,2020-05-15,2020-05-18,7.849786375477367,8.716124111731206,0.11036449844804275,1,5363,5364,True,0.5440701430549146,2167
NVDA,b_50_80|recent_cross|k_over_80,2020-07-27,2020-07-28,2020-08-03,2020-08-04,10.326413559651314,10.999048630506225,0.06513733611087558,5,5413,5418,True,0.5755894590846047,2163
NVDA,b_50_80|recent_cross|k_over_80,2021-01-21,2021-01-22,2021-02-10,2021-02-11,13.684778315815404,14.920044844642259,0.0902657317728901,14,5536,5550,True,0.617455896007428,2154
NVDA,b_50_80|recent_cross|k_over_80,2021-11-29,2021-11-30,2022-02-09,2022-02-10,33.06049048348585,25.913138706568642,-0.21619013125311626,50,5752,5802,True,0.6945231350330501,2118
NVDA,b_50_80|recent_cross|k_over_80,2022-08-15,2022-08-16,2022-10-25,2022-10-26,18.867621402461417,12.837184898566917,-0.3196182695879082,50,5930,5980,True,0.6945231350330501,2118
NVDA,b_50_80|recent_cross|k_over_80,2022-11-30,2022-12-01,2023-01-12,2023-01-13,16.96130961638063,16.24191245912775,-0.04241401009259982,29,6005,6034,True,0.638148667601683,2139
NVDA,b_50_80|recent_cross|k_over_80,2023-05-05,2023-05-08,2023-05-17,2023-05-18,28.46359684267218,30.347732971846412,0.06619459021951735,8,6112,6120,True,0.5893518518518519,2160
NVDA,b_50_80|recent_cross|k_over_80,2023-08-29,2023-08-30,2023-10-06,2023-10-09,48.94865462257738,44.758504384437536,-0.08560297050957455,27,6191,6218,True,0.6370854740775339,2141
NVDA,b_50_80|recent_cross|k_over_80,2024-01-08,2024-01-09,2024-01-11,2024-01-12,52.30802433098523,54.52307840206245,0.04234635315341295,3,6281,6284,True,0.5630484988452656,2165
NVDA,b_50_80|recent_cross|k_over_80,2024-02-23,2024-02-26,2024-03-01,2024-03-04,79.55858308487059,83.98071640863849,0.055583359485556816,5,6313,6318,True,0.5755894590846047,2163
NVDA,b_50_80|recent_cross|k_over_80,2025-01-02,2025-01-03,2025-02-12,2025-02-13,139.80120658589456,131.36380821970238,-0.06035282936566222,27,6529,6556,True,0.6370854740775339,2141
NVDA,b_50_80|recent_cross|k_over_80,2025-04-25,2025-04-28,2025-05-02,2025-05-05,109.53649064316203,112.75199823422925,0.029355583442438382,5,6606,6611,True,0.5755894590846047,2163
NVDA,b_50_80|recent_cross|k_over_80,2025-09-18,2025-09-19,2025-10-01,2025-10-02,175.54609885389235,189.35850113919957,0.07868247927744232,9,6706,6715,True,0.5891616489115331,2159
AAPL,b_50_80|recent_cross|k_over_80,2018-08-01,2018-08-02,2018-08-06,2018-08-07,47.21906796740019,49.27658070828396,0.043573768595014606,3,9491,9494,True,0.5681293302540416,2165
AAPL,b_50_80|recent_cross|k_over_80,2019-04-02,2019-04-03,2019-04-05,2019-04-08,46.00881734488018,46.76353008781775,0.01640365448388459,3,9658,9661,True,0.5681293302540416,2165
AAPL,b_50_80|recent_cross|k_over_80,2021-08-24,2021-08-25,2021-09-03,2021-09-07,146.12033978338724,151.1532776856572,0.034443787290194594,8,10262,10270,True,0.5949074074074074,2160
AAPL,b_50_80|recent_cross|k_over_80,2023-05-05,2023-05-08,2023-05-10,2023-05-11,169.7140651629481,171.0621017201797,0.007942986669592367,3,10689,10692,True,0.5681293302540416,2165
