,N20|EW|band-|gate-,N20|EW|band-|gate+,N20|EW|band+|gate-,N20|EW|band+|gate+,N20|IVOL|band-|gate-,N20|IVOL|band-|gate+,N20|IVOL|band+|gate-,N20|IVOL|band+|gate+,N50|EW|band-|gate-,N50|EW|band-|gate+,N50|EW|band+|gate-,N50|EW|band+|gate+,N50|IVOL|band-|gate-,N50|IVOL|band-|gate+,N50|IVOL|band+|gate-,N50|IVOL|band+|gate+
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984
2020-01-06,1.0070493515212509,1.0070493515212509,1.0070493515212509,1.0070493515212509,1.0089988132498164,1.0089988132498164,1.0089988132498164,1.0089988132498164,1.0016253368407186,1.0016253368407186,1.0016253368407186,1.0016253368407186,1.0020433151380477,1.0020433151380477,1.0020433151380477,1.0020433151380477
2020-01-07,1.0069768277856355,1.0069768277856355,1.0069768277856355,1.0069768277856355,1.0132656617221487,1.0132656617221487,1.0132656617221487,1.0132656617221487,1.0024571592262759,1.0024571592262759,1.0024571592262759,1.0024571592262759,1.0036893164882903,1.0036893164882903,1.0036893164882903,1.0036893164882903
2020-01-08,1.0109675786101784,1.0109675786101784,1.0109675786101784,1.0109675786101784,1.0178738373024394,1.0178738373024394,1.0178738373024394,1.0178738373024394,1.0077093775801873,1.0077093775801873,1.0077093775801873,1.0077093775801873,1.0092723867768307,1.0092723867768307,1.0092723867768307,1.0092723867768307
2020-01-09,1.0159752018597945,1.0159752018597945,1.0159752018597945,1.0159752018597945,1.0232734279160451,1.0232734279160451,1.0232734279160451,1.0232734279160451,1.0168979575952668,1.0168979575952668,1.0168979575952668,1.0168979575952668,1.0187993746753694,1.0187993746753694,1.0187993746753694,1.0187993746753694
2020-01-10,1.0116090664372843,1.0116090664372843,1.0116090664372843,1.0116090664372843,1.0200301475392823,1.0200301475392823,1.0200301475392823,1.0200301475392823,1.0154187953116036,1.0154187953116036,1.0154187953116036,1.0154187953116036,1.0183664721465817,1.0183664721465817,1.0183664721465817,1.0183664721465817
2020-01-13,1.0194369753478085,1.0194369753478085,1.0194369753478085,1.0194369753478085,1.0322094609121297,1.0322094609121297,1.0322094609121297,1.0322094609121297,1.0277522166111894,1.0277522166111894,1.0277522166111894,1.0277522166111894,1.0324551881215362,1.0324551881215362,1.0324551881215362,1.0324551881215362
2020-01-14,1.0222961458866837,1.0222961458866837,1.0222961458866837,1.0222961458866837,1.0328936563414124,1.0328936563414124,1.0328936563414124,1.0328936563414124,1.028459324482109,1.028459324482109,1.028459324482109,1.028459324482109,1.0316299132558333,1.0316299132558333,1.0316299132558333,1.0316299132558333
2020-01-15,1.0185249907136165,1.0185249907136165,1.0185249907136165,1.0185249907136165,1.028188650614114,1.028188650614114,1.028188650614114,1.028188650614114,1.0284020426696134,1.0284020426696134,1.0284020426696134,1.0284020426696134,1.0316215768763795,1.0316215768763795,1.0316215768763795,1.0316215768763795
2020-01-16,1.0286648083329373,1.0286648083329373,1.0286648083329373,1.0286648083329373,1.037651791142347,1.037651791142347,1.037651791142347,1.037651791142347,1.0377941465608869,1.0377941465608869,1.0377941465608869,1.0377941465608869,1.041412666836603,1.041412666836603,1.041412666836603,1.041412666836603
2020-01-17,1.029489089501511,1.029489089501511,1.029489089501511,1.029489089501511,1.0390339868595255,1.0390339868595255,1.0390339868595255,1.0390339868595255,1.0388382454658451,1.0388382454658451,1.0388382454658451,1.0388382454658451,1.0430137190607747,1.0430137190607747,1.0430137190607747,1.0430137190607747
2020-01-21,1.024970393189589,1.024970393189589,1.024970393189589,1.024970393189589,1.036962246633207,1.036962246633207,1.036962246633207,1.036962246633207,1.0381116489645859,1.0381116489645859,1.0381116489645859,1.0381116489645859,1.0437243081902832,1.0437243081902832,1.0437243081902832,1.0437243081902832
2020-01-22,1.0255993163385873,1.0255993163385873,1.0255993163385873,1.0255993163385873,1.0362371616173023,1.0362371616173023,1.0362371616173023,1.0362371616173023,1.0436567228378615,1.0436567228378615,1.0436567228378615,1.0436567228378615,1.04965599004968,1.04965599004968,1.04965599004968,1.04965599004968
