,N20|EW|band-|gate-,N20|EW|band-|gate+,N20|EW|band+|gate-,N20|EW|band+|gate+,N20|IVOL|band-|gate-,N20|IVOL|band-|gate+,N20|IVOL|band+|gate-,N20|IVOL|band+|gate+,N50|EW|band-|gate-,N50|EW|band-|gate+,N50|EW|band+|gate-,N50|EW|band+|gate+,N50|IVOL|band-|gate-,N50|IVOL|band-|gate+,N50|IVOL|band+|gate-,N50|IVOL|band+|gate+
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984
2020-01-06,1.00341462695848,1.00341462695848,1.00341462695848,1.00341462695848,1.006832217173875,1.006832217173875,1.006832217173875,1.006832217173875,1.0009000426828076,1.0009000426828076,1.0009000426828076,1.0009000426828076,1.00174075652576,1.00174075652576,1.00174075652576,1.00174075652576
2020-01-07,1.0063713974657664,1.0063713974657664,1.0063713974657664,1.0063713974657664,1.0125727143168906,1.0125727143168906,1.0125727143168906,1.0125727143168906,1.0030947919621096,1.0030947919621096,1.0030947919621096,1.0030947919621096,1.0040009438071777,1.0040009438071777,1.0040009438071777,1.0040009438071777
2020-01-08,1.011569720097471,1.011569720097471,1.011569720097471,1.011569720097471,1.0178317293799344,1.0178317293799344,1.0178317293799344,1.0178317293799344,1.007734717983964,1.007734717983964,1.007734717983964,1.007734717983964,1.0085533484414795,1.0085533484414795,1.0085533484414795,1.0085533484414795
2020-01-09,1.017430101718129,1.017430101718129,1.017430101718129,1.017430101718129,1.0237938419489603,1.0237938419489603,1.0237938419489603,1.0237938419489603,1.0177023853267912,1.0177023853267912,1.0177023853267912,1.0177023853267912,1.0186741963251311,1.0186741963251311,1.0186741963251311,1.0186741963251311
2020-01-10,1.0109992391977998,1.0109992391977998,1.0109992391977998,1.0109992391977998,1.0195090278332395,1.0195090278332395,1.0195090278332395,1.0195090278332395,1.0153153708299683,1.0153153708299683,1.0153153708299683,1.0153153708299683,1.0175626752810676,1.0175626752810676,1.0175626752810676,1.0175626752810676
2020-01-13,1.020610831966809,1.020610831966809,1.020610831966809,1.020610831966809,1.0325408270553047,1.0325408270553047,1.0325408270553047,1.0325408270553047,1.0282685468861033,1.0282685468861033,1.0282685468861033,1.0282685468861033,1.031856492078098,1.031856492078098,1.031856492078098,1.031856492078098
2020-01-14,1.0240977310007007,1.0240977310007007,1.0240977310007007,1.0240977310007007,1.0331863830084038,1.0331863830084038,1.0331863830084038,1.0331863830084038,1.028551023877267,1.028551023877267,1.028551023877267,1.028551023877267,1.0303049307330536,1.0303049307330536,1.0303049307330536,1.0303049307330536
2020-01-15,1.0196002403358355,1.0196002403358355,1.0196002403358355,1.0196002403358355,1.0278273577491266,1.0278273577491266,1.0278273577491266,1.0278273577491266,1.0283775756757447,1.0283775756757447,1.0283775756757447,1.0283775756757447,1.0302099125715858,1.0302099125715858,1.0302099125715858,1.0302099125715858
2020-01-16,1.0299716501566876,1.0299716501566876,1.0299716501566876,1.0299716501566876,1.0374632509949597,1.0374632509949597,1.0374632509949597,1.0374632509949597,1.0384078030394983,1.0384078030394983,1.0384078030394983,1.0384078030394983,1.040536547176443,1.040536547176443,1.040536547176443,1.040536547176443
2020-01-17,1.029908418657074,1.029908418657074,1.029908418657074,1.029908418657074,1.0383081586422618,1.0383081586422618,1.0383081586422618,1.0383081586422618,1.0391823185598055,1.0391823185598055,1.0391823185598055,1.0391823185598055,1.0421971169290851,1.0421971169290851,1.0421971169290851,1.0421971169290851
2020-01-21,1.0245782087484878,1.0245782087484878,1.0245782087484878,1.0245782087484878,1.03551048495962,1.03551048495962,1.03551048495962,1.03551048495962,1.037840433118323,1.037840433118323,1.037840433118323,1.037840433118323,1.0424584635415486,1.0424584635415486,1.0424584635415486,1.0424584635415486
2020-01-22,1.0234336697770547,1.0234336697770547,1.0234336697770547,1.0234336697770547,1.03415350319516,1.03415350319516,1.03415350319516,1.03415350319516,1.0430868239110649,1.0430868239110649,1.0430868239110649,1.0430868239110649,1.0482981276805343,1.0482981276805343,1.0482981276805343,1.0482981276805343
